,Statuses_Count,Followers_Count,Friends_Count,Label,Decision
1014,4086.0,200.0,56.0,MenInTech,Tier 2
1019,3595.0,63.0,158.0,MenInTech,Tier 2
1072,5746.0,243.0,647.0,MenInTech,Tier 2
1109,7606.0,250.0,480.0,MenInTech,Tier 2
1111,6490.0,238.0,662.0,MenInTech,Tier 2
1165,2080.0,182.0,184.0,MenInTech,Tier 2
1202,1743.0,137.0,124.0,MenInTech,Tier 2
1230,7632.0,105.0,699.0,MenInTech,Tier 2
1285,3869.0,137.0,547.0,MenInTech,Tier 2
1292,2466.0,155.0,298.0,MenInTech,Tier 2
1313,1676.0,60.0,446.0,MenInTech,Tier 2
1323,2728.0,129.0,144.0,MenInTech,Tier 2
1347,1177.0,107.0,117.0,MenInTech,Tier 2
1353,1523.0,333.0,408.0,MenInTech,Tier 2
1361,6924.0,209.0,143.0,MenInTech,Tier 2
1404,3785.0,486.0,822.0,MenInTech,Tier 2
1408,1231.0,48.0,349.0,MenInTech,Tier 2
1409,1231.0,48.0,349.0,MenInTech,Tier 2
1420,3366.0,94.0,204.0,MenInTech,Tier 2
1421,3791.0,224.0,648.0,MenInTech,Tier 2
1447,2667.0,332.0,405.0,MenInTech,Tier 2
1536,5073.0,139.0,100.0,MenInTech,Tier 2
1548,1517.0,189.0,155.0,MenInTech,Tier 2
1560,6490.0,238.0,662.0,MenInTech,Tier 2
1601,4080.0,265.0,612.0,MenInTech,Tier 2
1609,6593.0,54.0,153.0,MenInTech,Tier 2
1630,2344.0,136.0,797.0,MenInTech,Tier 2
1666,2747.0,176.0,252.0,MenInTech,Tier 2
1673,2630.0,189.0,134.0,MenInTech,Tier 2
1675,4064.0,233.0,431.0,MenInTech,Tier 2
1685,6490.0,238.0,662.0,MenInTech,Tier 2
1725,3984.0,549.0,583.0,MenInTech,Tier 2
1750,1988.0,181.0,463.0,MenInTech,Tier 2
1763,8188.0,291.0,321.0,MenInTech,Tier 2
1802,3505.0,207.0,223.0,MenInTech,Tier 2
1804,6490.0,238.0,662.0,MenInTech,Tier 2
1814,1015.0,204.0,474.0,MenInTech,Tier 2
1838,7967.0,337.0,425.0,MenInTech,Tier 2
1879,1075.0,130.0,863.0,MenInTech,Tier 2
1887,3827.0,547.0,782.0,MenInTech,Tier 2
1893,1017.0,531.0,151.0,MenInTech,Tier 2
1952,6733.0,207.0,485.0,MenInTech,Tier 2
1976,3099.0,126.0,114.0,MenInTech,Tier 2
1997,4418.0,179.0,448.0,MenInTech,Tier 2
